Date,Close,High,Low,Open,Volume
1/4/2016,2180.474365,2213.449403,2168.108726,2172.230606,77479500
1/5/2016,2205.205566,2234.058723,2176.352409,2176.352409,96609000
1/6/2016,2176.352783,2225.815346,2176.352783,2196.962185,105370000
1/7/2016,2143.377441,2168.10872,2143.377441,2159.86496,146746500
1/8/2016,2143.377441,2159.86496,2135.133682,2135.133682,125820000
1/11/2016,2102.158691,2139.255609,2102.158691,2135.13373,75952000
1/12/2016,2159.865479,2180.474882,2126.890433,2126.890433,86093500
1/13/2016,2172.230469,2192.839866,2168.108589,2180.474228,76587000
1/14/2016,2147.499512,2168.108912,2139.255752,2143.377632,119213500
1/15/2016,2143.377441,2168.10872,2143.377441,2159.86496,68326000
1/18/2016,2139.255127,2159.864521,2114.523854,2118.645733,81317000
1/19/2016,2155.743652,2159.865533,2135.134248,2151.621772,54711000
1/20/2016,2147.499512,2155.743272,2139.255752,2143.377632,75676000
1/21/2016,2135.134033,2151.621555,2135.134033,2151.621555,76938000
1/22/2016,2143.377441,2159.86496,2135.133682,2151.621201,71511000
1/25/2016,2163.987305,2180.474827,2147.499782,2176.352946,56835500
1/26/2016,2143.377441,2168.10872,2139.255562,2151.621201,57143000
1/27/2016,2159.865479,2176.353001,2155.743598,2159.865479,122278500
1/28/2016,2168.108887,2188.718287,2159.865127,2159.865127,126774000
1/29/2016,2159.865479,2180.474882,2139.256075,2176.353001,175698000
2/1/2016,2180.474365,2180.474365,2139.255568,2159.864967,89371000
2/2/2016,2159.865479,2180.474882,2155.743598,2180.474882,96631000
2/3/2016,2151.621338,2159.865098,2139.255698,2143.377578,65229000
2/4/2016,2168.108887,2184.596407,2143.377607,2143.377607,82874000
2/5/2016,2213.449219,2238.180495,2159.864787,2159.864787,265133500
2/9/2016,2192.839844,2213.449241,2176.352326,2209.327361,54516500
2/10/2016,2188.718018,2209.327415,2184.596138,2184.596138,69001500
2/11/2016,2201.084229,2234.059273,2176.352945,2176.352945,159586000
2/12/2016,2188.718018,2234.058692,2184.596138,2205.205536,121062500
2/15/2016,2201.084229,2217.571751,2196.962348,2209.32799,64452500
2/16/2016,2209.326904,2229.936297,2196.961269,2196.961269,100538500
2/17/2016,2209.326904,2221.69254,2201.083147,2209.326904,76406500
2/18/2016,2209.326904,2238.180054,2209.326904,2225.814419,146528500
2/19/2016,2151.621338,2192.840137,2131.011938,2192.840137,147712000
2/22/2016,2172.230469,2184.596107,2143.377313,2147.499192,55658000
2/23/2016,2159.865479,2188.718643,2147.499836,2176.353001,92492000
2/24/2016,2147.499512,2168.108912,2122.768231,2147.499512,84799500
2/25/2016,2155.743652,2176.353056,2147.499891,2159.865533,74008000
2/26/2016,2201.084229,2225.815512,2168.109184,2168.109184,141175000
2/29/2016,2221.693359,2229.93712,2205.205839,2225.815239,138837000
3/1/2016,2209.326904,2234.058176,2201.083147,2221.69254,79590500
3/2/2016,2217.571289,2234.058808,2196.96189,2229.936928,126069500
3/3/2016,2229.936768,2234.058647,2213.44925,2213.44925,115057500
3/4/2016,2238.180664,2258.790062,2229.936905,2242.302544,102347000
3/7/2016,2238.180664,2250.546303,2225.815025,2242.302544,105623000
3/8/2016,2209.326904,2238.180054,2176.351876,2225.814419,110122000
3/10/2016,2209.326904,2217.570661,2168.108119,2196.961269,109073500
3/11/2016,2209.326904,2209.326904,2209.326904,2209.326904,0
3/14/2016,2209.326904,2209.326904,2209.326904,2209.326904,0
3/15/2016,2238.180664,2242.302544,2225.815025,2238.180664,70072000
3/16/2016,2242.302979,2246.424859,2229.937337,2242.302979,72058000
